review_id,review_text,rating,category,verified_purchase,helpful_votes,review_date,sentiment
R00032,"Fantastic product, great value for money. The books quality is excellent.",4,Books,True,0,2025-12-24,Positive
R00033,"Fantastic product, great value for money. The electronics quality is excellent.",5,Electronics,True,1,2025-04-09,Positive
R00034,"Average product, does the job.",3,Books,False,0,2025-12-03,Neutral
R00035,Not bad but not great either.,3,Electronics,True,0,2025-08-25,Neutral
R00036,"Fantastic product, great value for money. Exactly as described.",4,Electronics,True,0,2025-07-08,Positive
R00037,Best purchase I've made in months. The beauty quality is excellent.,5,Beauty,True,0,2025-10-20,Positive
R00038,"Fantastic product, great value for money. Exactly as described.",4,Home & Kitchen,False,0,2025-02-28,Positive
R00039,"Fantastic product, great value for money. Great packaging.",4,Home & Kitchen,True,0,2025-04-18,Positive
R00040,Best purchase I've made in months. Exactly as described.,4,Books,True,0,2025-12-30,Positive
R00041,"Great purchase, very satisfied. Customer service was helpful.",4,Home & Kitchen,True,0,2025-05-13,Positive
R00042,"Perfect product, fast delivery. The clothing quality is excellent.",4,Clothing,True,0,2025-03-21,Positive
R00043,"Great purchase, very satisfied. The books quality is excellent.",4,Books,True,0,2025-08-13,Positive
R00044,"Perfect product, fast delivery. Exactly as described.",5,Sports,True,6,2025-02-17,Positive
R00045,"Great purchase, very satisfied. Great packaging.",4,Sports,False,0,2025-07-25,Positive
R00046,"Great purchase, very satisfied. Fast delivery!",4,Electronics,True,0,2025-06-23,Positive
R00047,Best purchase I've made in months. Fast delivery!,5,Home & Kitchen,True,9,2025-09-27,Positive
R00048,"Wonderful experience, highly recommended. The clothing quality is excellent.",4,Clothing,False,0,2025-04-08,Positive
R00049,"Wonderful experience, highly recommended. Fast delivery!",5,Sports,False,4,2026-01-19,Positive
R00050,"Terrible product, do not buy. Customer service was unhelpful.",2,Electronics,True,0,2025-09-12,Negative
R00051,"Amazing quality, worth every penny. Fast delivery!",5,Books,True,2,2025-12-12,Positive
R00052,Outstanding quality and service. Fast delivery!,4,Beauty,False,0,2025-04-02,Positive
R00053,"Bad quality, not worth the price. Product arrived damaged.",1,Beauty,True,1,2025-12-10,Negative
R00054,Acceptable for the price.,3,Books,True,0,2025-05-15,Neutral
R00055,"Poor quality, broke after one use. Not as shown in pictures.",2,Books,True,6,2025-10-18,Negative
R00056,Best purchase I've made in months. Exactly as described.,4,Electronics,True,0,2025-02-20,Positive
R00057,"Horrible experience, never buying again. The sports quality is poor.",1,Sports,True,0,2025-10-02,Negative
R00058,"It's okay, nothing special.",3,Clothing,True,0,2025-05-05,Neutral
R00059,Outstanding quality and service. Customer service was helpful.,4,Sports,True,0,2025-11-17,Positive
R00060,"Perfect product, fast delivery. The home & kitchen quality is excellent.",4,Home & Kitchen,True,0,2025-06-26,Positive
R00061,"Terrible product, do not buy. Customer service was unhelpful.",1,Electronics,True,0,2025-02-25,Negative
R00062,"Perfect product, fast delivery. Fast delivery!",4,Electronics,True,0,2025-03-13,Positive
R00063,"Wonderful experience, highly recommended. Fast delivery!",5,Books,False,1,2025-03-13,Positive
R00064,Excellent product! Highly recommended. Great packaging.,5,Clothing,True,5,2025-09-02,Positive
R00065,Excellent product! Highly recommended. The home & kitchen quality is excellent.,5,Home & Kitchen,False,3,2025-05-09,Positive
R00066,Best purchase I've made in months. Fast delivery!,4,Electronics,True,0,2025-04-22,Positive
R00067,"Waste of money, not as described. Customer service was unhelpful.",2,Beauty,True,2,2025-03-01,Negative
R00068,"Wonderful experience, highly recommended. Fast delivery!",5,Sports,True,3,2025-10-19,Positive
R00069,"Perfect product, fast delivery. Fast delivery!",4,Clothing,True,0,2025-06-29,Positive
R00070,Loved it! Will buy again. Fast delivery!,5,Electronics,True,1,2025-06-19,Positive
R00071,"Amazing quality, worth every penny. The books quality is excellent.",5,Books,True,0,2025-07-26,Positive
R00072,Excellent product! Highly recommended. Customer service was helpful.,4,Books,True,0,2025-02-11,Positive
R00073,Very disappointed with the quality. Not as shown in pictures.,2,Electronics,False,0,2025-07-29,Negative
R00074,"Not as advertised, very disappointed. Product arrived damaged.",2,Books,True,0,2025-07-10,Negative
R00075,"Great purchase, very satisfied. Fast delivery!",5,Books,True,1,2025-10-25,Positive
R00076,"Perfect product, fast delivery. Great packaging.",4,Books,False,0,2025-09-10,Positive
R00077,"Perfect product, fast delivery. Fast delivery!",5,Sports,False,11,2025-10-02,Positive
R00078,"Amazing quality, worth every penny. Great packaging.",4,Sports,True,0,2025-05-24,Positive
R00079,Best purchase I've made in months. Fast delivery!,5,Beauty,True,4,2025-07-22,Positive
R00080,"Bad quality, not worth the price. Product arrived damaged.",2,Sports,True,3,2025-02-24,Negative
R00081,Loved it! Will buy again. Great packaging.,5,Electronics,True,0,2025-02-02,Positive
R00082,"Wonderful experience, highly recommended. Fast delivery!",4,Home & Kitchen,True,0,2025-09-28,Positive
R00083,"Amazing quality, worth every penny. Great packaging.",4,Sports,True,0,2025-09-06,Positive
R00084,"Not as advertised, very disappointed. The sports quality is poor.",2,Sports,True,0,2025-07-25,Negative
R00085,Best purchase I've made in months. The electronics quality is excellent.,4,Electronics,True,0,2025-09-20,Positive
R00086,"Perfect product, fast delivery. Customer service was helpful.",5,Sports,False,0,2025-06-19,Positive
R00087,"Amazing quality, worth every penny. The electronics quality is excellent.",5,Electronics,True,0,2026-01-31,Positive
R00088,"Great purchase, very satisfied. The beauty quality is excellent.",4,Beauty,False,0,2025-03-08,Positive
R00089,Best purchase I've made in months. Great packaging.,5,Beauty,True,0,2025-08-21,Positive
R00090,"Amazing quality, worth every penny. Great packaging.",4,Clothing,True,0,2025-12-22,Positive
R00091,"It's okay, nothing special.",3,Home & Kitchen,True,0,2025-07-04,Neutral
R00092,"Great purchase, very satisfied. Customer service was helpful.",4,Sports,False,0,2025-05-21,Positive
R00093,"Amazing quality, worth every penny. Fast delivery!",4,Electronics,False,0,2025-06-04,Positive
R00094,Exceeded my expectations completely. The sports quality is excellent.,4,Sports,True,0,2025-09-08,Positive
R00095,"Perfect product, fast delivery. Fast delivery!",5,Electronics,True,7,2025-04-24,Positive
R00096,"Amazing quality, worth every penny. The electronics quality is excellent.",4,Electronics,True,0,2025-03-27,Positive
R00097,"Perfect product, fast delivery. Customer service was helpful.",5,Electronics,False,1,2025-12-10,Positive
R00098,"Great purchase, very satisfied. The clothing quality is excellent.",5,Clothing,True,0,2026-01-31,Positive
R00099,Loved it! Will buy again. The sports quality is excellent.,5,Sports,True,1,2025-02-18,Positive
R00100,"Average product, does the job.",3,Clothing,True,0,2025-10-06,Neutral
R00101,Excellent product! Highly recommended. Great packaging.,5,Clothing,True,4,2025-03-25,Positive
R00102,"Perfect product, fast delivery. Fast delivery!",4,Sports,False,0,2025-10-21,Positive
R00103,"Waste of money, not as described. Delivery was late.",2,Books,True,0,2025-02-19,Negative
R00104,"Terrible product, do not buy. The clothing quality is poor.",2,Clothing,True,3,2026-01-02,Negative
R00105,Excellent product! Highly recommended. Customer service was helpful.,4,Home & Kitchen,True,0,2025-09-16,Positive
R00106,Excellent product! Highly recommended. Great packaging.,5,Clothing,True,0,2025-05-15,Positive
R00107,"Great purchase, very satisfied. The sports quality is excellent.",4,Sports,True,0,2025-03-02,Positive
R00108,Not bad but not great either.,3,Beauty,True,0,2025-08-01,Neutral
R00109,"Amazing quality, worth every penny. Customer service was helpful.",4,Home & Kitchen,True,0,2025-04-30,Positive
R00110,"Average product, does the job.",3,Books,True,0,2025-03-12,Neutral
R00111,"Worst purchase ever, total waste. Delivery was late.",2,Electronics,True,0,2025-11-20,Negative
R00112,"Bad quality, not worth the price. Product arrived damaged.",2,Electronics,False,0,2026-01-06,Negative
R00113,"Great purchase, very satisfied. Customer service was helpful.",5,Electronics,False,1,2025-12-07,Positive
R00114,Exceeded my expectations completely. Fast delivery!,4,Clothing,True,0,2026-01-18,Positive
R00115,"Horrible experience, never buying again. Product arrived damaged.",2,Home & Kitchen,False,1,2025-06-07,Negative
R00116,"Worst purchase ever, total waste. Product arrived damaged.",1,Clothing,True,0,2025-10-05,Negative
R00117,Exceeded my expectations completely. The clothing quality is excellent.,4,Clothing,False,0,2025-11-07,Positive
R00118,"Fantastic product, great value for money. The books quality is excellent.",4,Books,True,0,2026-01-07,Positive
R00119,"Fantastic product, great value for money. Customer service was helpful.",5,Home & Kitchen,True,1,2025-12-29,Positive
R00120,"Great purchase, very satisfied. Fast delivery!",4,Electronics,True,0,2026-01-26,Positive
R00121,Best purchase I've made in months. Exactly as described.,5,Clothing,False,1,2025-04-18,Positive
R00122,"Bad quality, not worth the price. Not as shown in pictures.",1,Sports,False,0,2025-02-16,Negative
R00123,Decent but could be better.,3,Electronics,True,0,2025-12-23,Neutral
R00124,"Amazing quality, worth every penny. Great packaging.",5,Beauty,False,4,2025-09-20,Positive
R00125,Best purchase I've made in months. Exactly as described.,5,Beauty,False,2,2025-07-13,Positive
R00126,"Perfect product, fast delivery. Fast delivery!",4,Home & Kitchen,True,0,2025-05-02,Positive
R00127,"It's okay, nothing special.",3,Books,True,0,2026-01-31,Neutral
R00128,"Perfect product, fast delivery. Exactly as described.",4,Beauty,False,0,2025-03-05,Positive
R00129,Outstanding quality and service. Fast delivery!,4,Electronics,True,0,2025-05-16,Positive
R00130,"Waste of money, not as described. Customer service was unhelpful.",2,Books,True,0,2025-03-19,Negative
R00131,"Fantastic product, great value for money. Exactly as described.",5,Electronics,True,1,2025-10-30,Positive
R00132,"Waste of money, not as described. Customer service was unhelpful.",2,Sports,True,5,2025-11-17,Negative
R00133,Best purchase I've made in months. Great packaging.,4,Electronics,False,0,2025-03-10,Positive
R00134,"Great purchase, very satisfied. Customer service was helpful.",5,Sports,True,0,2025-11-15,Positive
R00135,"Fantastic product, great value for money. Customer service was helpful.",4,Books,True,0,2025-04-11,Positive
R00136,"Great purchase, very satisfied. Customer service was helpful.",4,Beauty,True,0,2026-01-09,Positive
R00137,"Fantastic product, great value for money. The electronics quality is excellent.",4,Electronics,False,0,2025-03-29,Positive
R00138,Exceeded my expectations completely. Exactly as described.,5,Home & Kitchen,True,0,2025-08-06,Positive
R00139,Excellent product! Highly recommended. Great packaging.,4,Books,True,0,2025-08-28,Positive
R00140,Acceptable for the price.,3,Electronics,True,0,2025-04-18,Neutral
R00141,"Waste of money, not as described. Delivery was late.",1,Beauty,True,2,2025-10-06,Negative
R00142,Best purchase I've made in months. Great packaging.,5,Books,True,3,2025-05-16,Positive
R00143,"Amazing quality, worth every penny. Exactly as described.",4,Books,True,0,2025-06-03,Positive
R00144,"Perfect product, fast delivery. Great packaging.",4,Clothing,True,0,2025-03-08,Positive
R00145,Best purchase I've made in months. Fast delivery!,4,Beauty,False,0,2025-06-28,Positive
R00146,"Amazing quality, worth every penny. The beauty quality is excellent.",4,Beauty,True,0,2025-10-20,Positive
R00147,Loved it! Will buy again. Great packaging.,5,Books,True,0,2025-09-27,Positive
R00148,"Average product, does the job.",3,Books,True,0,2025-12-12,Neutral
R00149,Outstanding quality and service. Exactly as described.,5,Electronics,True,0,2025-02-20,Positive
R00150,Exceeded my expectations completely. The beauty quality is excellent.,5,Beauty,True,0,2025-09-05,Positive
R00151,"Fantastic product, great value for money. Fast delivery!",4,Sports,False,0,2025-10-07,Positive
R00152,Loved it! Will buy again. The home & kitchen quality is excellent.,4,Home & Kitchen,False,0,2025-04-13,Positive
R00153,"Amazing quality, worth every penny. Exactly as described.",4,Clothing,True,0,2025-02-02,Positive
R00154,Best purchase I've made in months. The beauty quality is excellent.,5,Beauty,True,1,2025-02-22,Positive
R00155,Outstanding quality and service. Fast delivery!,4,Sports,True,0,2025-12-14,Positive
R00156,"It's okay, nothing special.",3,Books,True,0,2025-10-06,Neutral
R00157,Best purchase I've made in months. The sports quality is excellent.,5,Sports,True,0,2025-07-01,Positive
R00158,Excellent product! Highly recommended. Customer service was helpful.,4,Home & Kitchen,True,0,2025-09-10,Positive
R00159,Excellent product! Highly recommended. Exactly as described.,4,Clothing,True,0,2025-07-22,Positive
R00160,"Amazing quality, worth every penny. Exactly as described.",4,Electronics,True,0,2025-05-13,Positive
R00161,"Wonderful experience, highly recommended. Fast delivery!",5,Home & Kitchen,False,1,2025-11-06,Positive
R00162,Exceeded my expectations completely. Customer service was helpful.,5,Clothing,True,1,2025-03-15,Positive
R00163,Acceptable for the price.,3,Home & Kitchen,True,0,2025-05-28,Neutral
R00164,"Great purchase, very satisfied. The home & kitchen quality is excellent.",5,Home & Kitchen,True,2,2025-04-16,Positive
R00165,Decent but could be better.,3,Beauty,False,0,2025-08-20,Neutral
R00166,"Horrible experience, never buying again. Delivery was late.",2,Beauty,True,0,2025-09-03,Negative
R00167,"Great purchase, very satisfied. Great packaging.",5,Sports,True,2,2025-04-04,Positive
R00168,"Wonderful experience, highly recommended. Fast delivery!",4,Home & Kitchen,True,0,2025-10-05,Positive
R00169,Acceptable for the price.,3,Sports,True,0,2025-06-24,Neutral
R00170,"Great purchase, very satisfied. Great packaging.",4,Sports,False,0,2025-02-02,Positive
R00171,"Cheap material, very poor quality. Product arrived damaged.",2,Clothing,False,3,2025-07-07,Negative
R00172,"Fantastic product, great value for money. Fast delivery!",4,Electronics,True,0,2025-02-07,Positive
R00173,Decent but could be better.,3,Beauty,True,0,2025-08-31,Neutral
R00174,"Amazing quality, worth every penny. Customer service was helpful.",4,Sports,True,0,2025-09-08,Positive
R00175,Loved it! Will buy again. The clothing quality is excellent.,4,Clothing,True,0,2026-01-15,Positive
R00176,"Wonderful experience, highly recommended. Great packaging.",4,Beauty,True,0,2025-02-04,Positive
R00177,"Not as advertised, very disappointed. Product arrived damaged.",2,Home & Kitchen,True,1,2025-03-29,Negative
R00178,"It's okay, nothing special.",3,Sports,True,0,2025-07-26,Neutral
R00179,Outstanding quality and service. Exactly as described.,4,Clothing,True,0,2025-08-04,Positive
R00180,"Perfect product, fast delivery. Exactly as described.",4,Clothing,True,0,2025-08-21,Positive
R00181,Outstanding quality and service. Fast delivery!,5,Home & Kitchen,True,6,2025-11-24,Positive
R00182,Loved it! Will buy again. Great packaging.,4,Clothing,True,0,2025-06-02,Positive
R00183,"Waste of money, not as described. The beauty quality is poor.",2,Beauty,True,0,2025-07-15,Negative
R00184,"Fantastic product, great value for money. Customer service was helpful.",4,Electronics,True,0,2025-12-21,Positive
R00185,"Great purchase, very satisfied. Fast delivery!",4,Home & Kitchen,True,0,2025-08-13,Positive
R00186,"Amazing quality, worth every penny. Great packaging.",5,Beauty,True,0,2025-04-02,Positive
R00187,"Not as advertised, very disappointed. The clothing quality is poor.",2,Clothing,True,1,2025-06-30,Negative
R00188,Excellent product! Highly recommended. Customer service was helpful.,5,Sports,True,3,2026-01-07,Positive
R00189,"Wonderful experience, highly recommended. The books quality is excellent.",5,Books,False,0,2025-05-11,Positive
R00190,Exceeded my expectations completely. Fast delivery!,4,Electronics,True,0,2025-05-27,Positive
R00191,Exceeded my expectations completely. The sports quality is excellent.,4,Sports,True,0,2025-03-10,Positive
R00192,"Amazing quality, worth every penny. Great packaging.",5,Sports,False,0,2025-10-21,Positive
R00193,"Waste of money, not as described. Product arrived damaged.",1,Home & Kitchen,True,0,2025-08-02,Negative
R00194,Loved it! Will buy again. Customer service was helpful.,4,Electronics,True,0,2025-07-06,Positive
R00195,"Wonderful experience, highly recommended. Great packaging.",4,Sports,True,0,2025-03-27,Positive
R00196,Exceeded my expectations completely. Customer service was helpful.,4,Clothing,True,0,2025-10-28,Positive
R00197,Loved it! Will buy again. Customer service was helpful.,5,Beauty,True,1,2025-06-01,Positive
R00198,"Fantastic product, great value for money. Fast delivery!",4,Books,True,0,2025-02-07,Positive
R00199,Excellent product! Highly recommended. Exactly as described.,4,Electronics,True,0,2025-08-27,Positive
R00200,"Perfect product, fast delivery. The clothing quality is excellent.",5,Clothing,True,4,2025-11-20,Positive
R00201,"Cheap material, very poor quality. Not as shown in pictures.",2,Electronics,True,5,2025-12-02,Negative
R00202,Decent but could be better.,3,Books,False,0,2025-06-20,Neutral
R00203,Not bad but not great either.,3,Books,True,0,2025-09-06,Neutral
R00204,"Perfect product, fast delivery. Exactly as described.",5,Beauty,True,0,2025-06-20,Positive
R00205,Excellent product! Highly recommended. Fast delivery!,4,Electronics,True,0,2025-05-15,Positive
R00206,Exceeded my expectations completely. The beauty quality is excellent.,5,Beauty,True,1,2025-06-05,Positive
R00207,Decent but could be better.,3,Clothing,True,0,2025-12-01,Neutral
R00208,"Great purchase, very satisfied. Customer service was helpful.",5,Home & Kitchen,True,1,2025-03-09,Positive
R00209,"Amazing quality, worth every penny. Exactly as described.",5,Sports,False,0,2026-01-03,Positive
R00210,"Amazing quality, worth every penny. Great packaging.",5,Electronics,True,0,2026-01-07,Positive
R00211,"Amazing quality, worth every penny. Great packaging.",4,Home & Kitchen,True,0,2025-03-10,Positive
R00212,"Amazing quality, worth every penny. Customer service was helpful.",5,Clothing,True,2,2025-11-12,Positive
R00213,"Poor quality, broke after one use. Delivery was late.",2,Sports,True,2,2025-12-23,Negative
R00214,Excellent product! Highly recommended. Exactly as described.,4,Sports,False,0,2025-11-01,Positive
R00215,"Fantastic product, great value for money. Customer service was helpful.",5,Home & Kitchen,False,2,2025-08-15,Positive
R00216,"Bad quality, not worth the price. Not as shown in pictures.",2,Home & Kitchen,True,4,2025-03-24,Negative
R00217,"Wonderful experience, highly recommended. Exactly as described.",4,Clothing,True,0,2025-12-24,Positive
R00218,"Average product, does the job.",3,Books,False,0,2026-01-20,Neutral
R00219,Very disappointed with the quality. The sports quality is poor.,1,Sports,True,0,2025-07-28,Negative
R00220,"Poor quality, broke after one use. Product arrived damaged.",1,Sports,True,1,2025-06-22,Negative
R00221,"Perfect product, fast delivery. Customer service was helpful.",5,Books,True,0,2025-06-04,Positive
R00222,Outstanding quality and service. The electronics quality is excellent.,5,Electronics,True,0,2025-10-04,Positive
R00223,"Terrible product, do not buy. Product arrived damaged.",1,Clothing,True,2,2026-01-25,Negative
R00224,"Bad quality, not worth the price. Product arrived damaged.",2,Electronics,True,0,2025-06-20,Negative
R00225,"Great purchase, very satisfied. Customer service was helpful.",5,Electronics,False,1,2025-04-22,Positive
R00226,"Amazing quality, worth every penny. Great packaging.",5,Books,True,0,2025-03-01,Positive
R00227,"Perfect product, fast delivery. Customer service was helpful.",5,Books,True,1,2025-05-20,Positive
R00228,"Amazing quality, worth every penny. Customer service was helpful.",4,Beauty,True,0,2025-04-26,Positive
R00229,Best purchase I've made in months. Great packaging.,5,Clothing,True,4,2025-03-29,Positive
R00230,"Average product, does the job.",3,Home & Kitchen,True,0,2025-02-17,Neutral
R00231,"Cheap material, very poor quality. Not as shown in pictures.",2,Sports,False,0,2026-01-17,Negative
R00232,Exceeded my expectations completely. The beauty quality is excellent.,4,Beauty,True,0,2025-02-26,Positive
R00233,"Fantastic product, great value for money. Great packaging.",4,Beauty,True,0,2025-10-07,Positive
R00234,Excellent product! Highly recommended. Customer service was helpful.,4,Home & Kitchen,True,0,2025-03-18,Positive
R00235,"Fantastic product, great value for money. The beauty quality is excellent.",4,Beauty,False,0,2025-05-10,Positive
R00236,Excellent product! Highly recommended. Great packaging.,4,Electronics,False,0,2025-08-25,Positive
R00237,"Bad quality, not worth the price. Not as shown in pictures.",1,Beauty,True,1,2025-06-04,Negative
R00238,Excellent product! Highly recommended. The clothing quality is excellent.,4,Clothing,False,0,2025-11-16,Positive
R00239,"Horrible experience, never buying again. Delivery was late.",2,Beauty,False,0,2025-10-02,Negative
R00240,"Wonderful experience, highly recommended. Great packaging.",5,Clothing,True,2,2025-10-01,Positive
R00241,"Not as advertised, very disappointed. The beauty quality is poor.",1,Beauty,True,4,2025-08-07,Negative
R00242,Exceeded my expectations completely. Exactly as described.,4,Books,False,0,2025-03-24,Positive
R00243,"Fantastic product, great value for money. Great packaging.",5,Home & Kitchen,True,0,2026-01-20,Positive
R00244,"It's okay, nothing special.",3,Sports,False,0,2025-10-02,Neutral
R00245,Loved it! Will buy again. Customer service was helpful.,4,Beauty,True,0,2025-10-05,Positive
R00246,"Amazing quality, worth every penny. Fast delivery!",4,Home & Kitchen,True,0,2025-12-26,Positive
R00247,"Great purchase, very satisfied. Great packaging.",5,Electronics,True,2,2025-10-31,Positive
R00248,Exceeded my expectations completely. Great packaging.,4,Electronics,True,0,2025-07-03,Positive
R00249,Best purchase I've made in months. Great packaging.,5,Sports,True,2,2026-01-12,Positive
R00250,Excellent product! Highly recommended. Exactly as described.,4,Clothing,True,0,2025-05-27,Positive
R00251,"Amazing quality, worth every penny. Fast delivery!",5,Books,True,2,2025-06-03,Positive
R00252,"Great purchase, very satisfied. Customer service was helpful.",4,Beauty,True,0,2026-01-11,Positive
R00253,"Wonderful experience, highly recommended. Great packaging.",5,Home & Kitchen,False,0,2026-01-18,Positive
R00254,"Perfect product, fast delivery. Customer service was helpful.",5,Sports,True,0,2025-10-13,Positive
R00255,Loved it! Will buy again. Fast delivery!,4,Electronics,True,0,2025-09-09,Positive
R00256,"Amazing quality, worth every penny. Exactly as described.",4,Electronics,True,0,2025-08-21,Positive
R00257,"Wonderful experience, highly recommended. Exactly as described.",5,Home & Kitchen,True,0,2025-10-31,Positive
R00258,"Fantastic product, great value for money. The beauty quality is excellent.",4,Beauty,True,0,2025-05-13,Positive
R00259,"Fantastic product, great value for money. Great packaging.",4,Electronics,True,0,2025-10-17,Positive
R00260,"Perfect product, fast delivery. The sports quality is excellent.",5,Sports,False,3,2025-08-29,Positive
R00261,Loved it! Will buy again. Fast delivery!,5,Beauty,False,0,2025-04-14,Positive
R00262,Excellent product! Highly recommended. Exactly as described.,5,Sports,True,5,2025-03-13,Positive
R00263,"Worst purchase ever, total waste. Not as shown in pictures.",2,Home & Kitchen,False,6,2025-04-08,Negative
R00264,"Waste of money, not as described. Customer service was unhelpful.",1,Electronics,False,1,2025-08-07,Negative
R00265,Loved it! Will buy again. Customer service was helpful.,4,Beauty,True,0,2025-06-12,Positive
R00266,"Perfect product, fast delivery. The clothing quality is excellent.",5,Clothing,True,0,2025-02-08,Positive
R00267,"Amazing quality, worth every penny. The beauty quality is excellent.",5,Beauty,False,5,2025-10-10,Positive
R00268,"It's okay, nothing special.",3,Clothing,True,0,2025-03-10,Neutral
R00269,Excellent product! Highly recommended. The books quality is excellent.,5,Books,True,2,2025-12-10,Positive
R00270,"Wonderful experience, highly recommended. Great packaging.",5,Electronics,True,1,2025-11-30,Positive
R00271,"Fantastic product, great value for money. Customer service was helpful.",5,Electronics,True,1,2025-03-14,Positive
R00272,Loved it! Will buy again. Exactly as described.,5,Beauty,False,2,2025-04-28,Positive
R00273,Excellent product! Highly recommended. The home & kitchen quality is excellent.,4,Home & Kitchen,True,0,2025-11-28,Positive
R00274,"Great purchase, very satisfied. Great packaging.",4,Sports,True,0,2025-04-02,Positive
R00275,Outstanding quality and service. Fast delivery!,4,Home & Kitchen,True,0,2025-10-14,Positive
R00276,"Fantastic product, great value for money. Exactly as described.",4,Clothing,True,0,2025-03-10,Positive
R00277,"Perfect product, fast delivery. Customer service was helpful.",4,Beauty,True,0,2026-01-20,Positive
R00278,"Terrible product, do not buy. Product arrived damaged.",2,Sports,True,3,2025-02-02,Negative
R00279,"Perfect product, fast delivery. Exactly as described.",5,Sports,True,2,2025-09-30,Positive
R00280,"Great purchase, very satisfied. Great packaging.",5,Books,False,0,2025-04-17,Positive
R00281,Acceptable for the price.,3,Books,True,0,2026-01-05,Neutral
R00282,"Great purchase, very satisfied. Fast delivery!",5,Books,True,2,2025-11-16,Positive
R00283,Exceeded my expectations completely. Great packaging.,4,Electronics,True,0,2025-08-26,Positive
R00284,"Wonderful experience, highly recommended. Customer service was helpful.",5,Electronics,True,6,2025-05-14,Positive
R00285,Best purchase I've made in months. Customer service was helpful.,5,Books,True,6,2025-10-06,Positive
R00286,"Fantastic product, great value for money. Fast delivery!",4,Books,True,0,2026-01-22,Positive
R00287,Acceptable for the price.,3,Electronics,False,0,2025-09-02,Neutral
R00288,"Perfect product, fast delivery. Great packaging.",4,Clothing,True,0,2026-01-13,Positive
R00289,"Fantastic product, great value for money. Fast delivery!",5,Clothing,True,0,2025-06-04,Positive
R00290,Decent but could be better.,3,Electronics,False,0,2025-08-24,Neutral
R00291,Acceptable for the price.,3,Electronics,True,0,2025-08-25,Neutral
R00292,"Fantastic product, great value for money. The electronics quality is excellent.",4,Electronics,False,0,2025-04-16,Positive
R00293,"Great purchase, very satisfied. Fast delivery!",4,Clothing,True,0,2025-08-18,Positive
R00294,Exceeded my expectations completely. Great packaging.,5,Home & Kitchen,False,1,2025-10-22,Positive
R00295,Loved it! Will buy again. Customer service was helpful.,4,Sports,False,0,2025-11-20,Positive
R00296,Outstanding quality and service. The home & kitchen quality is excellent.,4,Home & Kitchen,True,0,2025-05-08,Positive
